,subsizes,<S>,<S^2>,<S>_typ,<S>_deg,<S>_all
0,1,0.636514168294813,0.0,0.0,0.636514168294813,0.6365141682948129
1,2,1.2543328534669311,0.00035469974326041154,0.0,1.2550216454712568,1.254224472532371
2,3,1.8086166348657513,0.004261398743264699,0.0,1.8094702559167881,1.808581033362363
3,4,2.286972560573166,0.017470890922369975,0.0,2.3005719262284146,2.2887552757660106
4,5,2.680607873709351,0.040915015247461994,0.0,2.710920279278367,2.684689723512763
5,6,2.9828470185603817,0.06949020917910254,0.0,3.0318047634603698,2.9895536213593314
6,7,3.1953000687955995,0.09740652694799756,0.0,3.2627072777467148,3.204701037594156
7,8,3.321527226243305,0.11819280278176159,0.0,3.40050761939507,3.33263388568506
8,9,3.3630634538072863,0.1257390954620483,0.0,3.4461531933576754,3.3748102169136414
