,subsizes,<S>,<S^2>,<S>_typ,<S>_deg,<S>_all,<S^2>_deg,<S^2>_all
0,1,0.6869615765973235,0.0,0.0,0.6869615765973236,0.6869615765973234,-1.6653345369377348e-16,1.6653345369377348e-16
1,2,1.354496746192058,0.0004556545647487198,0.0,1.3584593983782367,1.3561678402383617,0.0004114738860820921,0.00044099337190917076
2,3,1.95612386622665,0.005002273258964518,0.0,1.9731318379050737,1.9634517646236693,0.003953464564690368,0.004617580547506606
3,4,2.478026824277215,0.02007620192786863,0.0,2.519765389431302,2.4960100158822374,0.015619215536296416,0.018582718837691026
4,5,2.9142684849296554,0.0496187153746952,0.0,2.9872359800516466,2.945585115581337,0.03803202912163428,0.04591970067110118
5,6,3.2553405968729225,0.08930582873859372,0.0,3.361811725867127,3.3008499707257997,0.06851124212717785,0.08304398429767446
6,7,3.4999186465661625,0.13151088282955037,0.0,3.636456022770941,3.5580888646633078,0.10218654447408859,0.12320422097712758
7,8,3.6459041902443214,0.16387986430937573,0.0,3.8043274061406414,3.7132783486139105,0.12965736264466798,0.1548713050848356
8,9,3.6941079455431156,0.17627649193401496,0.0,3.861320161235421,3.765178274813582,0.14084407901466278,0.16736784218434053
