,subsizes,<S>,<S^2>,<S>_typ,<S>_deg,<S>_all
0,1,0.6869615765973235,5.551115123125783e-17,0.0,0.0,0.6869615765973235
1,2,1.358620769783253,0.0005574546832149974,0.0,0.0,1.358620769783253
2,3,1.9711520883268374,0.005324370716784266,0.0,0.0,1.9711520883268374
3,4,2.5107475742855994,0.020710123043591544,0.0,0.0,2.5107475742855994
4,5,2.9685794214403165,0.050526604703835076,0.0,0.0,2.9685794214403165
5,6,3.3316795190917494,0.09068705425089796,0.0,0.0,3.3316795190917494
6,7,3.5955191766280103,0.13394793668080673,0.0,0.0,3.5955191766280103
7,8,3.754885450000178,0.1678187522697936,0.0,0.0,3.754885450000178
8,9,3.8083977275744387,0.18140551583800502,0.0,0.0,3.8083977275744387
