,subsizes,<S>,<S^2>,<S>_typ,<S>_deg,<S>_all
0,1,0.6674746983045395,0.001322505293724352,0.0,6.36805794725647e-06,0.6674778823335134
1,2,1.2943838950449482,0.007631473707706338,0.0,1.2518010002004122e-05,1.2943905578261736
2,3,1.869057772353868,0.023798729481454117,0.0,1.8270111607233054e-05,1.8690686627050654
3,4,2.380730051389361,0.054025380271014,0.0,2.3535000017232954e-05,2.3807449581133326
4,5,2.8244708283489754,0.1004129799901925,0.0,2.8057232188028243e-05,2.8244892299572206
5,6,3.194244469252664,0.160294389866392,0.0,3.200850372985049e-05,3.19426597520643
6,7,3.4868858411120605,0.22754852352440835,0.0,3.5112031701725147e-05,3.4869098318525755
7,8,3.698255426772122,0.29060924126857657,0.0,3.754452241237907e-05,3.698281392603861
8,9,3.826326457560624,0.33693357223588905,0.0,3.890256574415398e-05,3.8263535092629253
9,10,3.8690070163570542,0.35390386898000514,0.0,3.943920235840429e-05,3.869034474682145
