,subsizes,<S>,<S^2>,<S>_typ
0,1,0.5623351446188086,-5.551115123125783e-17,0.0
1,2,1.075573564232321,0.0020557858769112425,0.0
2,3,1.5269996984042773,0.01033464409451268,0.0
3,4,1.9093455395047056,0.026431411243403424,0.0
4,5,2.222942762733622,0.048614495904911514,0.0
5,6,2.4705946053905725,0.07308149854303458,0.0
6,7,2.6579852283047525,0.09706540139796971,0.0
7,8,2.7891032728443026,0.11761537489057616,0.0
8,9,2.8667317608750795,0.13186225658347261,0.0
9,10,2.8924094384950703,0.1371286994881693,0.0
