,subsizes,<S>,<S^2>,<S>_typ
0,1,0.5623351446188086,-1.1102230246251565e-16,0.0
1,2,1.075573564232321,0.0020557858769110204,0.0
2,3,1.5269996984042775,0.010334644094511347,0.0
3,4,1.9093455395047054,0.026431411243403424,0.0
4,5,2.222942762733622,0.048614495904910626,0.0
5,6,2.470594605390572,0.07308149854303636,0.0
6,7,2.6579852283047525,0.09706540139796793,0.0
7,8,2.789103272844302,0.11761537489057794,0.0
8,9,2.8667317608750795,0.13186225658347084,0.0
9,10,2.89240943849507,0.13712869948817108,0.0
