,subsizes,<S>,<S^2>,<S>_typ
0,1,0.3250829733914486,-2.7755575615628914e-17,0.0
1,2,0.5879480063910767,0.0021366918552953584,0.0
2,3,0.7823973864269892,0.004635979194588358,0.0
3,4,0.9364463085948687,0.007391988656398341,0.0
4,5,1.0590850017655602,0.010197312587758134,0.0
5,6,1.1551713177689837,0.012883766571577748,0.0
6,7,1.2276643817626005,0.01533116282609348,0.0
7,8,1.278436205185328,0.01739363461547172,0.0
8,9,1.3086552681577184,0.01888037667077902,0.0
9,10,1.3187266376845792,0.019477902887725662,0.0
