,subsizes,<S>,<S^2>,<S>_typ
0,1,0.5004024235381882,-5.551115123125783e-17,0.0
1,2,0.9492520388661847,0.0021782732995001552,0.0
2,3,1.334083673896832,0.010237842788573204,0.0
3,4,1.6516417187235464,0.023705418310875803,0.0
4,5,1.9066576630078063,0.03954098496200942,0.0
5,6,2.107597694546493,0.056252976396315546,0.0
6,7,2.2596937846252216,0.07219116228725397,0.0
7,8,2.366267382996759,0.08571530852687292,0.0
8,9,2.4293196273028337,0.09494505865953418,0.0
9,10,2.4501724791431663,0.09828318005852577,0.0
