,subsizes,<S>,<S^2>,<S>_typ,<S>_deg,<S>_all,<S^2>_deg,<S^2>_all
0,1,0.6881388137135886,-5.551115123125783e-17,0.0,0.6881388137135886,0.6881388137135886,-5.551115123125783e-17,-5.551115123125783e-17
1,2,1.3301657314252444,0.0019488643672112005,0.0,1.339623686495328,1.3346611075039796,0.00129419236648598,0.0016597854205848694
2,3,1.9160402926957327,0.009828898497969973,0.0,1.9404202812717968,1.9276365303263316,0.007036404689573228,0.008645842665756298
3,4,2.434547725822799,0.02762055965308452,0.0,2.4809453068920453,2.4566156954533165,0.02054598841441102,0.024777165498600873
4,5,2.8813825235944104,0.0582691669784694,0.0,2.9548073687237126,2.9163079414859494,0.04402807214786719,0.052795346996362014
5,6,3.2510923221876555,0.10086165284683979,0.0,3.3544641424337325,3.3002585164610614,0.07670356465060912,0.09194005719830223
6,7,3.5414886793625,0.15105551083793323,0.0,3.67464980019201,3.604817772566399,0.11581085763079102,0.1385454777971411
7,8,3.7495691239730635,0.19944562419385292,0.0,3.90875991331936,3.8252674692097224,0.1543259354464812,0.18405512477120922
8,9,3.874611429256134,0.23546140360292256,0.0,4.051921900386453,3.958918433948876,0.18384367100663823,0.21843360132769973
9,10,3.9157072386134932,0.24838122499929405,0.0,4.100373991315683,4.00350915974302,0.19515897792713943,0.23122746637341862
