,subsizes,<S>,<S^2>,<S>_typ,<S>_deg,<S>_all
0,1,0.6730116670092566,-5.551115123125783e-17,0.0,0.6730116670092567,0.6730116670092567
1,2,1.3012221567370226,0.0018147747490382393,0.0,1.307284345522626,1.3030829121938035
2,3,1.8737925566228157,0.009277359846362021,0.0,1.8889765661711875,1.87845927980539
3,4,2.3798050852247714,0.026074618171435304,0.0,2.4090862391489765,2.3888065324320964
4,5,2.814670777799167,0.05452984499307778,0.0,2.8614534490058046,2.829056918197909
5,6,3.1731896969570257,0.09329822749654326,0.0,3.239582899523293,3.1936080778926965
6,7,3.453274407316771,0.13797595604813928,0.0,3.539452980994016,3.479778281992062
7,8,3.65283551001238,0.18015376636996194,0.0,3.7563791522642944,3.684678301756826
8,9,3.772186818862889,0.2110334688628157,0.0,3.887884716161285,3.8077655446864362
9,10,3.8118998407871865,0.22259752245950537,0.0,3.9315945325114576,3.848706232005622
