,subsizes,<S>,<S^2>,<S>_typ,<S>_deg,<S>_all
0,1,0.6881388137135886,-5.551115123125783e-17,0.0,0.0,0.6881388137135886
1,2,1.3368838020732705,0.0017591707343120877,0.0,0.0,1.3368838020732705
2,3,1.9345407023967023,0.009279387448978937,0.0,0.0,1.9345407023967023
3,4,2.4697891907610523,0.026647225470766145,0.0,0.0,2.4697891907610523
4,5,2.9368665679216046,0.05677204156430804,0.0,0.0,2.9368665679216046
5,6,3.3283736777030413,0.09878837626528103,0.0,0.0,3.3283736777030413
6,7,3.6398702879299707,0.14866223504570542,0.0,0.0,3.6398702879299707
7,8,3.8657332949680474,0.19710175804211083,0.0,0.0,3.8657332949680474
8,9,4.002881073059732,0.23360268981185683,0.0,0.0,4.002881073059732
9,10,4.048622258896928,0.24720082918446096,0.0,0.0,4.048622258896928
