,subsizes,<S>,<S^2>,<S>_typ,<S>_deg,<S>_all,<S^2>_deg,<S^2>_all
0,1,0.6474466390346325,2.220446049250313e-16,0.0,0.6474466390346325,0.6474466390346325,1.6653345369377348e-16,2.7755575615628914e-16
1,2,1.2511265953396329,0.0017576791834263972,0.0,1.2556879667901344,1.2522360190342752,0.0014415042768871622,0.0016848198957617466
2,3,1.800189817814292,0.009115721653865094,0.0,1.813335388368549,1.8033881879735756,0.007466438950018972,0.008747218521215405
3,4,2.284434271752488,0.025531083370807117,0.0,2.311585050963006,2.2910405647261554,0.020434640391505887,0.024428844099571023
4,5,2.699751342096358,0.05270242398249181,0.0,2.746368308147086,2.7110942217812974,0.0413515123792072,0.050344599715022476
5,6,3.0417174420365467,0.08864106980018782,0.0,3.111646745433992,3.058732786679013,0.06824820820598987,0.0845863721405209
6,7,3.308468947148459,0.1286918697563486,0.0,3.402694390529877,3.331395691660493,0.09788775909233038,0.12284212345230117
7,8,3.498517303571706,0.16565238005801142,0.0,3.6141901068154003,3.5266616246778555,0.12542008820108208,0.15834150478852926
8,9,3.612344318842056,0.19242538782537721,0.0,3.7424055966564955,3.6439874867097917,0.14527804510884046,0.1840861220262724
9,10,3.650084437089243,0.20231209660404303,0.0,3.78530928241259,3.682982257690819,0.15263605075255882,0.1936112556891061
