,subsizes,<S>,<S^2>,<S>_typ
0,1,0.42270908780599126,-8.326672684688674e-17,0.0
1,2,0.790471990384226,0.002321805555586587,0.0
2,3,1.0922284989230346,0.009238376152655325,0.0
3,4,1.3321466683615628,0.01781678634393269,0.0
4,5,1.5243486835818583,0.027637581575239878,0.0
5,6,1.6757566589976833,0.03790378109901793,0.0
6,7,1.7902031841694472,0.04738569003361803,0.0
7,8,1.8703354022040617,0.05540399582108346,0.0
8,9,1.9177356890966697,0.06090832614683439,0.0
9,10,1.9334107593359429,0.06296969367916194,0.0
