,subsizes,<S>,<S^2>,<S>_typ,<S>_deg,<S>_all
0,1,0.6474466390346326,5.551115123125783e-17,0.0,0.0,0.6474466390346326
1,2,1.2500293912245124,0.0018701535471958852,0.0,0.0,1.2500293912245124
2,3,1.7963928530316007,0.009733561952134817,0.0,0.0,1.7963928530316007
3,4,2.2764984943802222,0.027048659961054433,0.0,0.0,2.2764984943802222
4,5,2.686258560723464,0.05503045998676814,0.0,0.0,2.686258560723464
5,6,3.0218115161033055,0.09111444227916365,0.0,0.0,3.0218115161033055
6,7,3.282081397002789,0.13046726963247934,0.0,0.0,3.282081397002789
7,8,3.466497367315285,0.16609669725125542,0.0,0.0,3.466497367315285
8,9,3.576419092070138,0.19153826559793075,0.0,0.0,3.576419092070138
9,10,3.6127856475875895,0.2008993314268217,0.0,0.0,3.6127856475875895
