,subsizes,<S>,<S^2>,<S>_typ,<S>_deg,<S>_all
0,1,0.5297061990576548,-5.551115123125783e-17,0.0,0.23473255095496068,0.5297061990576548
1,2,1.0284388606761539,0.000979404720681254,0.0,0.4641054701517796,1.0290368853044831
2,3,1.4540149499398451,0.00735998008536809,0.0,0.6612868989133905,1.4547329355716125
3,4,1.7963745300680802,0.02128376181693925,0.0,0.8239577122713234,1.797152864882429
4,5,2.0568262746910504,0.03789251917004144,0.0,0.9528107835175973,2.0577124140993623
5,6,2.250436778705899,0.054953001975465376,0.0,1.0501894592675007,2.251591425464007
6,7,2.38446536722056,0.06967055729437899,0.0,1.1189612693732687,2.3857723046557675
7,8,2.463248921758648,0.0797860898787901,0.0,1.1602232166630218,2.4647265382714925
8,9,2.489174160795161,0.08349716649451278,0.0,1.1730155356062149,2.4906288027492898
