,subsizes,<S>,<S^2>,<S>_typ,<S>_deg,<S>_all,<S^2>_deg,<S^2>_all
0,1,0.5908422462755828,6.118602537855705e-32,0.0,0.0,0.5908422462755828,0.0,6.112337760515456e-32
1,2,1.1545193576915858,0.0006546921618743765,0.0,0.0,1.154493174943078,0.0,0.0006558790200497129
2,3,1.6494703080799133,0.005599720642207926,0.0,0.0,1.6494970044311756,0.0,0.005612793319375709
3,4,2.062368565016737,0.01807234978973342,0.0,0.0,2.0625194005324703,0.0,0.01810940750059308
4,5,2.3893878008992773,0.03549014372634338,0.0,0.0,2.389679982822188,0.0,0.035541159456900576
5,6,2.632776893963943,0.05302110312452685,0.0,0.0,2.63319127941636,0.0,0.053068147562051526
6,7,2.801685127270365,0.06843242208364564,0.0,0.0,2.8022046602472708,0.0,0.06846117985512767
7,8,2.9008123255635954,0.07937364028943993,0.0,0.0,2.901391110960644,0.0,0.079385826264107
8,9,2.9334494775097992,0.0834371878164078,0.0,0.0,2.934051293494295,0.0,0.08344120718058017
