,subsizes,<S>,<S^2>,<S>_typ,<S>_deg,<S>_all
0,1,0.6674746983045394,0.001322505293724574,0.0,,0.6674778823335134
1,2,1.3199229510759232,0.00610440847626359,0.0,,1.3204197817837913
2,3,1.915598698337777,0.017842671843010915,0.0,,1.918908432884304
3,4,2.4436535626802067,0.041726265282163943,0.0,,2.4532188844626446
4,5,2.899084453294728,0.08167533464562382,0.0,,2.9169843855443736
5,6,3.2755838464178813,0.1347928542072978,0.0,,3.3026444532838006
6,7,3.5700625529991075,0.19467284209126845,0.0,,3.606086652506835
7,8,3.7821217936839284,0.25151663949764114,0.0,,3.825216774441755
8,9,3.9099297589115647,0.2932819605668957,0.0,,3.9577048866964515
9,10,3.952559160019142,0.3085267682778188,0.0,,4.002011383207185
