,subsizes,<S>,<S^2>,<S>_typ,<S>_deg,<S>_all
0,1,0.6674746983045398,0.00132250529372413,0.0,6.36805794725647e-06,0.6674778823335134
1,2,1.3210749221764264,0.006326222129949821,0.0,1.2518010002004122e-05,1.3211427322857539
2,3,1.9208145795170148,0.019074627851726422,0.0,1.8270111607233054e-05,1.920955238790718
3,4,2.4563123327803904,0.045145188562344174,0.0,2.3535000017232954e-05,2.4565435994745046
4,5,2.9212447331053992,0.08865339973529629,0.0,2.8057232188028243e-05,2.9215779590800546
5,6,3.307795650333998,0.1462508988459046,0.0,3.200850372985049e-05,3.3081818150264004
6,7,3.611500144216289,0.21066239952990884,0.0,3.5112031701725147e-05,3.61192476526745
7,8,3.830397690454731,0.2711609247946427,0.0,3.754452241237907e-05,3.830865155820034
8,9,3.9625002210220437,0.3153869420464588,0.0,3.890256574415398e-05,3.962993078116813
9,10,4.006593929496143,0.3314351356597278,0.0,3.943920235840429e-05,4.007107744966802
