,subsizes,<S>,<S^2>,<S>_typ,<S>_deg,<S>_all
0,1,0.661563238157982,2.7755575615628914e-16,0.0,0.661563238157982,0.661563238157982
1,2,1.265459837884368,0.0029371270833740137,0.0,1.2724816163953314,1.2665888329026558
2,3,1.7961530422084555,0.014838613341634943,0.0,1.8123631104334235,1.7987841273400924
3,4,2.2385974061351153,0.03988299954884056,0.0,2.269655976099886,2.2436415652496704
4,5,2.587169128934136,0.07760750848901488,0.0,2.634852527154255,2.5949273752419275
5,6,2.8355810358952063,0.11928657129563369,0.0,2.8994259010723855,2.8459612927922664
6,7,2.9837502878888196,0.15291211079296652,0.0,3.059561671723823,2.9960738605934765
7,8,3.0328574363576286,0.16593619452363484,0.0,3.112267646871587,3.045765359542217
