,subsizes,<S>,<S^2>,<S>_typ,<S>_deg,<S>_all,<S^2>_deg,<S^2>_all
0,1,0.6931471805599453,7.805610895201458e-28,0.0,0.6931471805599455,0.6931471805599453,5.206596610173877e-28,7.142997755654615e-28
1,2,1.3816884791628399,3.633763861554793e-05,0.0,1.3835389382767906,1.3821727686923242,1.367727128626885e-05,3.099750094274754e-05
2,3,2.033878432665726,0.0013271515452849775,0.0,2.043447801964552,2.036370413758842,0.0008467454006272808,0.0012184580640719497
3,4,2.6414390242062153,0.006463508948913179,0.0,2.6643047762586987,2.6473996359492626,0.0043059101792546906,0.006002483672692002
4,5,3.1994227132239104,0.017709225413388475,0.0,3.2411553483285838,3.210317792739965,0.011948328386193299,0.016551685069362505
5,6,3.700685210795411,0.036153824688082106,0.0,3.7664807141525327,3.7178886169452254,0.024537990855058582,0.033964075006282936
6,7,4.140276334385826,0.06124633224138647,0.0,4.234015700042622,4.164824133585447,0.041211659563642415,0.057697140180609396
7,8,4.511474983782756,0.09086454102414807,0.0,4.635029160957101,4.543869449115322,0.060462224567034296,0.0858234696047976
8,9,4.809256191202959,0.12233555433400556,0.0,4.961928981228176,4.849309425442592,0.08081272013889494,0.11590116749184957
9,10,5.027539791398479,0.15136582261775114,0.0,5.20465200652182,5.074016714216404,0.09958431140446915,0.1437681135272893
10,11,5.161228928587193,0.1724072757699699,0.0,5.354445533021549,5.211938948381305,0.11316162462087938,0.16398224710782494
11,12,5.206090929107253,0.1801859527141521,0.0,5.405028828852693,5.258305232689868,0.11818279440442561,0.17146368449769092
