,subsizes,<S>,<S^2>,<S>_typ,<S>_deg,<S>_all,<S^2>_deg,<S^2>_all
0,1,0.6615632381579821,1.8901560640021936e-30,0.0,0.0,0.661563238157982,0.0,1.890233389707287e-30
1,2,1.3084843256232987,0.0003098177692145369,0.0,0.0,1.308483974630295,0.0,0.0003098394033664976
2,3,1.910115807779309,0.0028060813523655297,0.0,0.0,1.9101154978766723,0.0,0.002806151653037623
3,4,2.4584107556773858,0.010625288073918798,0.0,0.0,2.458409915855539,0.0,0.010625419060206783
4,5,2.948355670694168,0.026020251441349854,0.0,0.0,2.948353850527785,0.0,0.02602042768987164
5,6,3.3751915354207673,0.049135964784522874,0.0,0.0,3.3751893629223555,0.0,0.04913683459737174
6,7,3.7361162856679586,0.0775420703353585,0.0,0.0,3.736114546510274,0.0,0.0775441310357273
7,8,4.029624102553531,0.10817496554585375,0.0,0.0,4.02962278958201,0.0,0.10817812957760982
8,9,4.256420379093994,0.13794974669558924,0.0,0.0,4.25641888511063,0.0,0.13795353136470245
9,10,4.417020359562382,0.16318095755458562,0.0,0.0,4.417018832037254,0.0,0.16318504582360382
10,11,4.512709628481916,0.18043102502152403,0.0,0.0,4.512708492116698,0.0,0.1804354883206943
11,12,4.544424099091005,0.18668441062000968,0.0,0.0,4.544423206486232,0.0,0.18668916164598673
