,subsizes,<S>,<S^2>,<S>_typ,<S>_deg,<S>_all
0,1,0.6365141682948129,1.1102230246251565e-16,0.0,0.0,0.6365141682948129
1,2,1.2571277429107444,0.0003584415955402154,0.0,0.0,1.2571267640652053
2,3,1.8307460306191126,0.0032565694643857945,0.0,0.0,1.8307464572817391
3,4,2.349169177638555,0.012126012324836566,0.0,0.0,2.349171850870952
4,5,2.80767568458345,0.029507090713113193,0.0,0.0,2.807680916208254
5,6,3.202261708770212,0.05487030112334601,0.0,0.0,3.202269495616545
6,7,3.531192887303455,0.08525028287338898,0.0,0.0,3.5312020728893088
7,8,3.79550693126774,0.1171050984094677,0.0,0.0,3.795517534691515
8,9,3.9976837538479826,0.1470038002775489,0.0,0.0,3.997695831461179
9,10,4.139892800600444,0.17136880747179362,0.0,0.0,4.139906339507221
10,11,4.224254064416421,0.1875346090177601,0.0,0.0,4.224268499940232
11,12,4.25217394012826,0.19326401723780506,0.0,0.0,4.252188396543909
