,subsizes,<S>,<S^2>,<S>_typ,<S>_deg,<S>_all
0,1,0.37677016125643686,2.7755575615628914e-17,0.0,0.0,0.37677016125643686
1,2,0.7313942157122928,0.0006955659931434655,0.0,0.0,0.7313942157122928
2,3,1.0291348845103754,0.005021509691243375,0.0,0.0,1.0291348845103754
3,4,1.2557929483144175,0.009034533553783364,0.0,0.0,1.2557929483144175
4,5,1.4464607949236792,0.014835632233631824,0.0,0.0,1.4464607949236792
5,6,1.6035345377134982,0.0213615860780072,0.0,0.0,1.6035345377134982
6,7,1.7306078676770709,0.02772408585658459,0.0,0.0,1.7306078676770709
7,8,1.8312772579106573,0.03347298118119335,0.0,0.0,1.8312772579106573
8,9,1.907854543107828,0.03839335127310761,0.0,0.0,1.907854543107828
9,10,1.9618401032047175,0.042325900983643194,0.0,0.0,1.9618401032047175
10,11,1.9936054795474647,0.04483670240441873,0.0,0.0,1.9936054795474647
11,12,2.0042137990001194,0.04575667776359804,0.0,0.0,2.0042137990001194
