,subsizes,<S>,<S^2>,<S>_typ,<S>_deg,<S>_all,<S^2>_deg,<S^2>_all
0,1,0.5623351446188084,1.4147440893521963e-31,0.0,0.0,0.5623351446188085,0.0,1.4146673297779872e-31
1,2,1.106638868242181,0.00039839351025498543,0.0,0.0,1.1066337153834476,0.0,0.0003986187411437429
2,3,1.600403153313524,0.0032418263850884804,0.0,0.0,1.6004200460039752,0.0,0.00324311474430117
3,4,2.0360810136143765,0.01129343483898365,0.0,0.0,2.0361382334239218,0.0,0.011294141172942444
4,5,2.41084965440349,0.024679185548923583,0.0,0.0,2.41094625670051,0.0,0.024677195167129594
5,6,2.7229446798395633,0.04021344684927803,0.0,0.0,2.7230730113348587,0.0,0.04020620803901542
6,7,2.977471116485137,0.05596555204546216,0.0,0.0,2.977623314078683,0.0,0.05595397039164999
7,8,3.1801064889402424,0.071322467125732,0.0,0.0,3.180277669074324,0.0,0.07130966923266858
8,9,3.3342578379800525,0.085096317806692,0.0,0.0,3.3344409312997887,0.0,0.0850832314636619
9,10,3.442644437248927,0.0964490830522587,0.0,0.0,3.4428335360040188,0.0,0.09643587596811207
10,11,3.506929369369312,0.10412996060599888,0.0,0.0,3.507122415090978,0.0,0.10411571961397957
11,12,3.5282405631782625,0.10697237362702663,0.0,0.0,3.5284351301965073,0.0,0.10695784631314897
