,subsizes,<S>,<S^2>,<S>_typ,<S>_deg,<S>_all
0,1,0.4505612088663048,-2.7755575615628914e-17,0.0,0.0,0.4505612088663048
1,2,0.881659408871603,0.0004940880740551545,0.0,0.0,0.8816932871703881
2,3,1.2555351891701763,0.004159231033722177,0.0,0.0,1.255587480232981
3,4,1.5693648133526916,0.01238380419917684,0.0,0.0,1.5693676522220241
4,5,1.8216431194093112,0.02112379518757601,0.0,0.0,1.8215702967818972
5,6,2.030682969710955,0.031389712600836894,0.0,0.0,2.0305626813363924
6,7,2.2003659722212605,0.041589745970439296,0.0,0.0,2.200172709142381
7,8,2.335458315095713,0.05131500870338712,0.0,0.0,2.335180447291616
8,9,2.4381582192661213,0.059666264346201814,0.0,0.0,2.437812972010349
9,10,2.5103286242455365,0.06629580613752939,0.0,0.0,2.5099608739239585
10,11,2.553118610035741,0.07054878725327285,0.0,0.0,2.5527617649391035
11,12,2.5673341662121554,0.07210267424897499,0.0,0.0,2.5669964937029723
