,subsizes,<S>,<S^2>,<S>_typ,<S>_deg,<S>_all
0,1,0.6365141682948129,1.1102230246251565e-16,0.0,0.0,0.6365141682948129
1,2,1.2590615071071176,0.0003058174849277506,0.0,0.0,1.259134517551203
2,3,1.8347631466967635,0.0030098553594797295,0.0,0.0,1.8347314859424815
3,4,2.357108149226386,0.011335609007767644,0.0,0.0,2.357104426475174
4,5,2.8191800155637927,0.027877269068476096,0.0,0.0,2.8192765558868835
5,6,3.218082133726811,0.052422119283077606,0.0,0.0,3.2182791937509796
6,7,3.5505442253493187,0.08208750273576015,0.0,0.0,3.5508554383578397
7,8,3.8176511399090733,0.11333449287710629,0.0,0.0,3.818107334003154
8,9,4.02146297590419,0.1424278974477602,0.0,0.0,4.022047048032035
9,10,4.164715266904774,0.16624981798698713,0.0,0.0,4.165362587679964
10,11,4.249674189767093,0.18211020596214667,0.0,0.0,4.250345349869756
11,12,4.277774699548002,0.1878097643476906,0.0,0.0,4.278467287122678
