,subsizes,<S>,<S^2>,<S>_typ,<S>_deg,<S>_all
0,1,0.6718525569092572,0.0009091124098559167,0.0,4.194404854292934e-07,0.6718527666294998
1,2,1.3345268761478302,0.0043166906879115174,0.0,8.277876248787727e-07,1.3345273211258624
2,3,1.9621354881338322,0.013391018741435445,0.0,1.2149264569120392e-06,1.9621196498512188
3,4,2.541861593757172,0.032180586210643014,0.0,1.5760424697930986e-06,2.5418546083400986
4,5,3.071518217654139,0.06594629319146961,0.0,1.898303568853717e-06,3.0715003612954304
5,6,3.5407808368561424,0.11578762821159394,0.0,2.1901966977444666e-06,3.5407197859201047
6,7,3.947312039070139,0.18178915877729018,0.0,2.43848180487017e-06,3.947139790668811
7,8,4.284056228382762,0.25689755676743786,0.0,2.654386228379531e-06,4.283733266261631
8,9,4.549413709391965,0.33385451946174527,0.0,2.8219836201351497e-06,4.5488715007451725
9,10,4.739273890802419,0.400013600079248,0.0,2.9528010864999517e-06,4.7385170082664985
10,11,4.853631824536959,0.44578309680641937,0.0,3.027136582168e-06,4.852696869078478
11,12,4.891506271773717,0.4619101790791298,0.0,3.056940260660292e-06,4.890528632660655
