,subsizes,<S>,<S^2>,<S>_typ,<S>_deg,<S>_all
0,1,0.4825775651770122,2.7755575615628914e-17,0.0,0.0,0.4825775651770122
1,2,0.927843156902509,0.0014057455047711276,0.0,0.0,0.9285721863003845
2,3,1.2836047822002472,0.00932315395586314,0.0,0.0,1.2876361584547389
3,4,1.5413193954821578,0.019213693210211158,0.0,0.0,1.5464396736529034
4,5,1.7290220382364152,0.030662610807086654,0.0,0.0,1.7347670985624746
5,6,1.8584863058072294,0.041980832953179004,0.0,0.0,1.8648401524974394
6,7,1.9335250000748057,0.04992292948777033,0.0,0.0,1.9405166032270635
7,8,1.9581409599588746,0.05286748438172273,0.0,0.0,1.9654394310430794
