,subsizes,<S>,<S^2>,<S>_typ,<S>_deg,<S>_all,<S^2>_deg,<S^2>_all
0,1,0.376770161256437,5.551115123125783e-17,0.0,0.05880037929983322,0.4225784660301862,0.07267037448466705,0.034616027536999355
1,2,0.7128780604533606,0.0013175409381451786,0.0,0.07117457855853522,0.7660152937888484,0.08482699996925484,0.0041061884515287694
2,3,0.937502633971639,0.0013333852399241009,0.0,0.08245112696041915,0.9940546885963145,0.10338103615661733,-0.016655309264191676
3,4,1.1011375352982395,0.0015992239447868428,0.0,0.09259618760843176,1.1611690722176293,0.12616817014631973,-0.030685440715370715
4,5,1.221437403029186,0.0021853948433960824,0.0,0.10089611054004939,1.2806481359362087,0.14914261893251587,-0.0396814914808854
5,6,1.303177592000093,0.0026829998704183122,0.0,0.10794805113968808,1.3684492169691433,0.17182751165221255,-0.04495672241392068
6,7,1.3488635148458812,0.0030472511192669582,0.0,0.11075688902327988,1.4191044223302125,0.18163139784673385,-0.04871368310824531
7,8,1.3636280234817657,0.003277740684912267,0.0,0.11221874059823393,1.4348274680057012,0.1869785380528968,-0.04927999058312338
