,subsizes,<S>,<S^2>,<S>_typ,<S>_deg,<S>_all,<S^2>_deg,<S^2>_all
0,1,0.6829081047004719,-3.3306690738754696e-16,0.0,0.6829081047004719,0.6829081047004716,-3.3306690738754696e-16,1.1102230246251565e-16
1,2,1.333703275417703,0.0011262263183917653,0.0,1.343717507996584,1.3360248211080479,0.0005330850807905296,0.0010050513518164994
2,3,1.8977109746456466,0.009892099186333603,0.0,1.930910139688753,1.9054904623229993,0.005428735200212476,0.009003737159444913
3,4,2.351462790970044,0.034577946697230466,0.0,2.42274514242788,2.3678408963197723,0.020310688096263796,0.03192895875127366
4,5,2.6852548040190776,0.07514778956778656,0.0,2.7986502859543223,2.710727489119067,0.04588937122462955,0.06990690131933341
5,6,2.8856381987246733,0.1127972670506523,0.0,3.032480153332165,2.918513494573198,0.07298357564547509,0.1061842024483024
6,7,2.951592240329536,0.12900900114775204,0.0,3.1155231649689044,2.988171962639536,0.0883855105910456,0.12274771045129462
