,subsizes,<S>,<S^2>,<S>_typ,<S>_deg,<S>_all
0,1,0.6560796241329805,0.0027366114708779476,0.0,0.00031065624935554443,0.6562349522576583
1,2,1.2846165469217543,0.013552448981112963,0.0,0.0006031927441633582,1.2851284936700456
2,3,1.8310275119357218,0.04109010860386686,0.0,0.0008659131653201223,1.8322884584285863
3,4,2.2723026289865524,0.0916844325504389,0.0,0.001091014723005237,2.274355341102345
4,5,2.5978496126874098,0.15933363718227778,0.0,0.0012504467678285153,2.6004479213863143
5,6,2.7955906490436346,0.21908366423528136,0.0,0.0013633836302069362,2.798568163605947
6,7,2.862519307891539,0.2449781724226998,0.0,0.0013912601605943235,2.8655997740557946
