,subsizes,<S>,<S^2>,<S>_typ,<S>_deg,<S>_all
0,1,0.6829081047004717,-5.551115123125783e-17,0.0,0.0,0.6829081047004717
1,2,1.339021726344729,0.001044609983923639,0.0,0.0,1.339225356888908
2,3,1.9149732631609593,0.009292806002274112,0.0,0.0,1.9153308317303432
3,4,2.3849166331372853,0.03281151526164994,0.0,0.0,2.3857202846681917
4,5,2.7344222837868934,0.07151892037716223,0.0,0.0,2.735633326782183
5,6,2.946145739496896,0.10828565824894731,0.0,0.0,2.9476997603209862
6,7,3.0175778987365143,0.12538901956602722,0.0,0.0,3.0192492865331313
