,subsizes,<S>,<S^2>,<S>_typ,<S>_deg,<S>_all
0,1,0.5195798391305153,1.1102230246251565e-16,0.0,0.0,0.5195798391305153
1,2,0.9992278831138778,0.001303626885983511,0.0,0.0,1.0000877636888432
2,3,1.373137901440372,0.010471722959030316,0.0,0.0,1.3770318348606922
3,4,1.6312579537384142,0.02300604203737766,0.0,0.0,1.6369049017403385
4,5,1.8053844386544917,0.0362879338398403,0.0,0.0,1.8123165839380653
5,6,1.9064568089240774,0.0474195607149146,0.0,0.0,1.9142100242796496
6,7,1.938675478743774,0.051759349559648005,0.0,0.0,1.9469506036876936
