,subsizes,<S>,<S^2>,<S>_typ,<S>_deg,<S>_all
0,1,0.37677016125643686,2.7755575615628914e-17,0.0,0.025984149052168056,0.38976223578252095
1,2,0.676584567313921,0.0032971402937818084,0.0,0.05073254756957206,0.703167769644996
2,3,0.8882304194397406,0.006795618522072111,0.0,0.07334989859913958,0.9311541296302613
3,4,1.0472962864516682,0.010343260549466438,0.0,0.09338885460113241,1.105245603497605
4,5,1.1646073371513155,0.013692253365148677,0.0,0.10934818327107862,1.234660307372926
5,6,1.2457266962316822,0.016702302210101383,0.0,0.12225997537282082,1.3257181001030396
6,7,1.2937203386777671,0.01905647214902917,0.0,0.12942885603658127,1.379473475795776
7,8,1.309686689123927,0.020083766044997287,0.0,0.13234959922597786,1.3977634033123256
