,subsizes,<S>,<S^2>,<S>_typ,<S>_deg,<S>_all,<S^2>_deg,<S^2>_all
0,1,0.6560796241329805,0.002736611470877892,0.0,0.6243974513981985,0.6565598818630567,0.026871281315519358,0.002807242891100903
1,2,1.2483672920528965,0.01615921758110117,0.0,1.1988051504198325,1.250528565388741,0.10158317560895491,0.01563243531307723
2,3,1.7585569028385108,0.04964322526339782,0.0,1.7000947184314514,1.7632422971749038,0.21440155380780412,0.04839504731842581
3,4,2.1689581761833203,0.105663576966597,0.0,2.110901497703143,2.177159036646532,0.3494624509679225,0.10371317026790194
4,5,2.472429845774116,0.1770224652463055,0.0,2.422831705080044,2.4843356902505533,0.4876947572788266,0.1745266984264342
5,6,2.657866328924623,0.23973544572893601,0.0,2.620494736449602,2.6727870963872475,0.5970059992882302,0.2370895747886932
6,7,2.720986664560641,0.2667979066499857,0.0,2.689052460417525,2.737208959887892,0.6410928554257422,0.2643475833309141
