,sizes,Kin,Kin2,Int,Kin_loc,Kin2_loc,Int_loc,Sq0,jE
0,10,0.002506978670666499,0.055597167115475216,0.0003856656932679752,0.017026971388509678,0.01440698698453748,9.671837391417706e-05,0.012177406919941798,0.0
1,12,0.00223712255302705,0.05456478006900582,0.00035627939830146644,0.011317879830950306,0.010583787861463929,5.818262160100995e-05,0.010945685258665763,0.0
2,14,0.002104673616746704,0.05177155177019643,0.00032764230918561906,0.010371040108466179,0.007435937272649646,5.0992670004402655e-05,0.008999013022637361,0.0
3,16,0.0020772806900694833,0.05109463173685636,0.0003096152391073487,0.00774018683090952,0.005939886206922654,3.437933666182344e-05,0.007833907439317125,0.0
4,18,0.002077593043178334,0.050492589399457936,0.00029715235178794634,0.007081919422940514,0.00482155651210477,3.215420649421381e-05,0.006871527364045755,0.0
5,20,0.0020931440177177135,0.050174069789990255,0.0002881289205284214,0.005585049951053256,0.0041095695647704635,2.397057558337804e-05,0.0061200778246207855,0.0
