,subsizes,<S>,<S^2>,<S>_typ,<S>_deg,<S>_all
0,1,0.3250829733914486,-2.7755575615628914e-17,0.0,0.017572052615753963,0.33386899969932554
1,2,0.6190832639685299,0.000849629084303527,0.0,0.034542262683793346,0.6392279184114366
2,3,0.8244531961096062,0.0010459894703788164,0.0,0.050414642127481035,0.852607318694184
3,4,0.9818368036753989,0.001233669605001264,0.0,0.06494260291597376,1.0222306461582016
4,5,1.107308755106497,0.0016207561173930962,0.0,0.07742127416928823,1.1580625103568694
5,6,1.2066654654891098,0.002215470555466892,0.0,0.08832443365795856,1.2655243842706638
6,7,1.2805431097695035,0.0027429566342838108,0.0,0.0968883250779072,1.3469625494861308
7,8,1.329997964888364,0.003128204532623524,0.0,0.10360055274746832,1.4017882891429756
8,9,1.358123888003019,0.003404392612754936,0.0,0.10734794466476451,1.432018714448606
9,10,1.3675163388895202,0.0035491559479119417,0.0,0.10882874256253007,1.442439936482872
