,subsizes,<S>,<S^2>,<S>_typ,<S>_deg,<S>_all,<S^2>_deg,<S^2>_all
0,1,0.667471598065802,1.0114829699236997e-31,0.0,6.200477474960248e-06,0.6674746983045395,,1.011638829911061e-31
1,2,1.3171396731396532,0.00038196621907913783,0.0,1.218858868616191e-05,1.3171498450321444,,0.00038182116279061244
2,3,1.9140971940725795,0.003648294266462125,0.0,1.7789319196516395e-05,1.914112385766695,,0.0036475991489289556
3,4,2.4468222922549967,0.013839469688458098,0.0,2.29156579115163e-05,2.446846472307517,,0.01383838700130167
4,5,2.9084945102460718,0.032770767205357286,0.0,2.7318883972553818e-05,2.9085269767542576,,0.03276924586703429
5,6,3.2919897053439167,0.05921155290974511,0.0,3.116617468432811e-05,3.292030246912784,,0.059210501277924155
6,7,3.5942065747163228,0.089621853412994,0.0,3.418803086746922e-05,3.594254551942146,,0.0896216027749285
7,8,3.8114800589910423,0.11855341912371438,0.0,3.655650866468488e-05,3.811532662212052,,0.11855429859479226
8,9,3.942629705133739,0.1399827870964172,0.0,3.787881401404466e-05,3.942684993181251,,0.139984667640586
9,10,3.986287040752106,0.14806679747780935,0.0,3.84013286121305e-05,3.9863438252282144,,0.14806918429187732
