,subsizes,<S>,<S^2>,<S>_typ,<S>_deg,<S>_all
0,1,0.6730116670092567,-2.220446049250313e-16,0.0,0.0,0.6730116670092567
1,2,1.3259646468449238,0.00048714652689541005,0.0,0.0,1.3259716013761575
2,3,1.9238735998360104,0.004423829335782781,0.0,0.0,1.92388400957833
3,4,2.455198630746326,0.016638093162463008,0.0,0.0,2.4552150775000756
4,5,2.9127176060590454,0.04020003220275292,0.0,0.0,2.9127418419139857
5,6,3.289486132448509,0.07370326319667875,0.0,0.0,3.289516574313122
6,7,3.5828627284655448,0.11265083571140089,0.0,0.0,3.582899332087281
7,8,3.790871879585031,0.14899375415574134,0.0,0.0,3.790911964855874
8,9,3.9149101171597125,0.17536998034505658,0.0,0.0,3.91495171504409
9,10,3.955939028781615,0.18492005825753566,0.0,0.0,3.9559818739072816
