,subsizes,<S>,<S^2>,<S>_typ,<S>_deg,<S>_all
0,1,0.42270908780599115,2.7755575615628914e-17,0.0,,0.42270908780599115
1,2,0.815900189925069,0.0008861784855114241,0.0,,0.8165336778475263
2,3,1.1382261778578966,0.005951548699741238,0.0,,1.1394372927770153
3,4,1.3841992369225806,0.012129416852227681,0.0,,1.3853496961972058
4,5,1.579218079066982,0.01957502193678673,0.0,,1.5800536867952477
5,6,1.732672366570233,0.027917990022989336,0.0,,1.733329846716556
6,7,1.8479531801050346,0.035492138240929894,0.0,,1.8486543876625914
7,8,1.9284545590077844,0.04163591018397117,0.0,,1.9293025748052661
8,9,1.9759768066097585,0.04573878946437482,0.0,,1.9770284405160155
9,10,1.9916176800696048,0.04724418978608691,0.0,,1.9926094255943618
