,subsizes,<S>,<S^2>,<S>_typ,<S>_deg,<S>_all
0,1,0.5004024235381882,-5.551115123125783e-17,0.0,0.0,0.5004024235381882
1,2,0.9731527583858214,0.0007504571875894817,0.0,0.0,0.9731527583858214
2,3,1.3805075660358916,0.0055741436667724464,0.0,0.0,1.3805075660358916
3,4,1.7140330690432195,0.01591916043488606,0.0,0.0,1.7140330690432195
4,5,1.9759165110737122,0.0283363188047292,0.0,0.0,1.9759165110737122
5,6,2.180545348062999,0.04172450856646215,0.0,0.0,2.180545348062999
6,7,2.334367225432018,0.0544249394530274,0.0,0.0,2.334367225432018
7,8,2.4417684786152347,0.0650780276785774,0.0,0.0,2.4417684786152347
8,9,2.5051693575036045,0.07213025398408934,0.0,0.0,2.5051693575036045
9,10,2.526095974091075,0.074746423032507,0.0,0.0,2.526095974091075
