,subsizes,<S>,<S^2>,<S>_typ,<S>_deg,<S>_all
0,1,0.5908422462755827,0.0,0.0,0.5908422462755826,0.5908422462755828
1,2,1.1278826073984694,0.0025411013577312236,0.0,1.1369163897971226,1.128509731560786
2,3,1.5973583473690902,0.01288025284384009,0.0,1.6218263986621944,1.599045401217714
3,4,1.989771242333214,0.03335395958738063,0.0,2.039427564328796,1.9931867506246805
4,5,2.3039920747175806,0.06173726476593355,0.0,2.3848821642661657,2.3095552261453753
5,6,2.5411489875585693,0.09222201447530676,0.0,2.655768818228035,2.549035804976013
6,7,2.7066622753078144,0.11991480296409307,0.0,2.851083180518795,2.7165978084408358
7,8,2.804011294526725,0.13961047075644029,0.0,2.969552450980823,2.8153893305363096
8,9,2.836150350823113,0.14699081791636637,0.0,3.00927476631605,2.848039791098564
