,subsizes,<S>,<S^2>,<S>_typ,<S>_deg,<S>_all
0,1,0.5297061990576548,-1.1102230246251565e-16,0.0,0.5297061990576547,0.5297061990576548
1,2,1.0025903564590297,0.0027135704674503547,0.0,1.0130206745765924,1.0026100064368024
2,3,1.404425719510747,0.012879245034930431,0.0,1.4170848362247694,1.4044064278441097
3,4,1.7301806622859721,0.0300539235611037,0.0,1.7436347994652561,1.7301922410721913
4,5,1.9839329850424772,0.05016857189521007,0.0,2.00287052221653,1.98406870920042
5,6,2.17430916539951,0.07070527493400025,0.0,2.2020220859394803,2.1746054865272573
6,7,2.306897944420427,0.08892798711258632,0.0,2.343197272345082,2.307342907571043
7,8,2.38520533288764,0.101963673599621,0.0,2.426298479275242,2.3857848305558873
8,9,2.410965326405114,0.10680905546710928,0.0,2.451298647624967,2.411564432271053
