,subsizes,<S>,<S^2>,<S>_typ,<S>_deg,<S>_all,<S^2>_deg,<S^2>_all
0,1,0.6698669793961837,1.6891192072689895e-31,0.0,0.6665827415370339,0.6698677057055848,,1.4589347220907209e-31
1,2,1.3260922865790647,0.00021127011532876341,0.0,1.321510737243349,1.3267337215920845,,0.0002274549192501528
2,3,1.9327629358824012,0.0025471316192799227,0.0,1.9333421192267153,1.9364571266750317,,0.002518787936175494
3,4,2.4800915860863912,0.01049658796889361,0.0,2.493601214877077,2.4896695686511974,,0.010148906845563029
4,5,2.9629135833149647,0.02650179543593508,0.0,2.9963422275215774,2.980935777907314,,0.025485336453728445
5,6,3.375663270371198,0.05044545591335026,0.0,3.433379857766186,3.403696412003281,,0.048329166635738344
6,7,3.7155370435985557,0.07965896802376939,0.0,3.7995097365847292,3.7542062720423433,,0.07619541730634313
7,8,3.9804310278315165,0.11055495403297916,0.0,4.089875069513581,4.029330650307795,,0.10580984383418207
8,9,4.170092548471369,0.1387211410551699,0.0,4.300987255630198,4.2275682650701345,,0.13295220016304507
9,10,4.283765744939163,0.15881373439349605,0.0,4.4289977530888995,4.346983840168734,,0.1524457188985265
10,11,4.321626253907478,0.16621275563754798,0.0,4.4720244489856675,4.386926743620372,,0.15968582621477062
