,subsizes,<S>,<S^2>,<S>_typ,<S>_deg,<S>_all,<S^2>_deg,<S^2>_all
0,1,0.6698669793961836,2.4051244516864722e-31,0.0,1.4526188021236343e-06,0.6698677057055847,,2.4053643607148546e-31
1,2,1.326835326723036,0.0003117486155474553,0.0,2.8618162123740525e-06,1.3268352028124009,,0.0003118370042857282
2,3,1.9367407540902717,0.003017644697836377,0.0,4.189069461643738e-06,1.9367382054547198,,0.0030180202191540714
3,4,2.489642302140307,0.01160114724827737,0.0,5.4116839920380646e-06,2.4896366850984566,,0.011601956928676199
4,5,2.9798101277641056,0.02848374606911958,0.0,6.472232994176168e-06,2.979801079648665,,0.02848499699894871
5,6,3.4005660788299976,0.05330085421046948,0.0,7.4114751233538385e-06,3.40055375282944,,0.05330311849278601
6,7,3.7482208592486947,0.08316479763018302,0.0,8.174006972658138e-06,3.7482050639401043,,0.0831681358144355
7,8,4.020124903178276,0.11452858635844487,0.0,8.810761162791329e-06,4.020106831343984,,0.11453354041120695
8,9,4.215410984884456,0.14297519444769088,0.0,9.236893178233307e-06,4.215391903273688,,0.14298179959439808
9,10,4.332720110357626,0.16323408591940797,0.0,9.525597511051068e-06,4.3327008302414605,,0.16324180287069115
10,11,4.3719089885169025,0.17073274589830997,0.0,9.601848215231488e-06,4.371889580290717,,0.17074082315640768
