,subsizes,<S>,<S^2>,<S>_typ
0,1,0.5623351446188085,-5.551115123125783e-17,0.0
1,2,1.0843612996129115,0.0014024014456810452,0.0
2,3,1.5564637835933919,0.00722830118513107,0.0
3,4,1.9723970172235423,0.019454910525173563,0.0
4,5,2.331309220484515,0.0379263620980419,0.0
5,6,2.6341451668817726,0.06056263533659134,0.0
6,7,2.8837385911389504,0.08497856720808628,0.0
7,8,3.0834283388855246,0.10909544033276575,0.0
8,9,3.2360517208326702,0.13109311186071082,0.0
9,10,3.343616998117111,0.14907803647006723,0.0
10,11,3.4075452213478656,0.16115451304353812,0.0
11,12,3.4287309259413092,0.16549206109301906,0.0
