,subsizes,<S>,<S^2>,<S>_typ
0,1,0.2868359830561608,-4.163336342344337e-17,0.0
1,2,0.5216224939193125,0.0014976637921005898,0.0
2,3,0.7007080010922642,0.0033014643148498446,0.0
3,4,0.8470860720454628,0.005323733732644165,0.0
4,5,0.9683241040253024,0.007434361818995927,0.0
5,6,1.0685889123213699,0.009527820856346292,0.0
6,7,1.1504825506953817,0.01152471893661322,0.0
7,8,1.215730886714372,0.013370516698861357,0.0
8,9,1.265509736228704,0.01500234427203817,0.0
9,10,1.300622399183549,0.01633943955503936,0.0
10,11,1.3215969804724947,0.017275772627121544,0.0
11,12,1.3285960704333117,0.017640218354002313,0.0
