,subsizes,<S>,<S^2>,<S>_typ
0,1,0.6931471805599453,0.0,0.0
1,2,1.3607934113388516,0.0009358053148722512,0.0
2,3,1.993575472724222,0.004797342935739302,0.0
3,4,2.582671044316736,0.013816609454429418,0.0
4,5,3.1235493227994855,0.03008521776473394,0.0
5,6,3.609566838334427,0.05456518472471039,0.0
6,7,4.036238597538391,0.08759760322369559,0.0
7,8,4.397257147104781,0.12722337748267165,0.0
8,9,4.687329096209335,0.16992429852843927,0.0
9,10,4.899958614508758,0.2091174687433579,0.0
10,11,5.030198918895051,0.23755271434021097,0.0
11,12,5.073892008450022,0.24789471973091537,0.0
