,subsizes,<S>,<S^2>,<S>_typ
0,1,0.5623351446188084,-5.551115123125783e-17,0.0
1,2,1.0843612996129115,0.0014024014456808231,0.0
2,3,1.5564637835933923,0.0072283011851301815,0.0
3,4,1.9723970172235428,0.019454910525172675,0.0
4,5,2.3313092204845156,0.0379263620980419,0.0
5,6,2.6341451668817735,0.060562635336589565,0.0
6,7,2.8837385911389517,0.0849785672080845,0.0
7,8,3.083428338885525,0.10909544033276752,0.0
8,9,3.236051720832671,0.13109311186070904,0.0
9,10,3.343616998117111,0.14907803647007078,0.0
10,11,3.4075452213478674,0.16115451304352746,0.0
11,12,3.4287309259413097,0.16549206109302084,0.0
