,subsizes,<S>,<S^2>,<S>_typ,<S>_deg,<S>_all
0,1,0.6718525569092573,0.0009091124098558612,0.0,4.194404854292934e-07,0.6718527666295
1,2,1.312423872149516,0.005276128189121598,0.0,8.277876248787727e-07,1.3124243177198356
2,3,1.9178952803837408,0.01714537211845224,0.0,1.2149264569120392e-06,1.9178960137419085
3,4,2.476299707951925,0.040304485413747315,0.0,1.5760424697930986e-06,2.4763007198060283
4,5,2.986814146210178,0.0795975083771463,0.0,1.898303568853717e-06,2.9868154102153204
5,6,3.440423146652685,0.13557979840827805,0.0,2.1901966977444666e-06,3.4404246427905636
6,7,3.835035265354496,0.20837415706549933,0.0,2.43848180487017e-06,3.835036961498047
7,8,4.163857713792388,0.29132054669574714,0.0,2.654386228379531e-06,4.1638595859443415
8,9,4.424632844435038,0.3768710081668658,0.0,2.8219836201351497e-06,4.42463485289508
9,10,4.61272998185922,0.4516018374390889,0.0,2.9528010864999517e-06,4.612732097713729
10,11,4.726859159100012,0.5040588331028637,0.0,3.027136582168e-06,4.726861337188104
11,12,4.764785734976991,0.5226301391350461,0.0,3.056940260660292e-06,4.764787937906446
