,subsizes,<S>,<S^2>,<S>_typ
0,1,0.4505612088663048,-2.7755575615628914e-17,0.0
1,2,0.8572651340738078,0.0015651034458282753,0.0
2,3,1.2103368647602484,0.007336398943429856,0.0
3,4,1.5084015506455088,0.016988148905523914,0.0
4,5,1.7564766120956903,0.02846386607139495,0.0
5,6,1.9623303716708456,0.04098930007209711,0.0
6,7,2.130748600694043,0.053740458112121914,0.0
7,8,2.2650351308535814,0.06592713169420605,0.0
8,9,2.3673883028942435,0.07668281935642973,0.0
9,10,2.439457579943128,0.08536289366651229,0.0
10,11,2.4822486757128126,0.09112783036549033,0.0
11,12,2.4964306688335833,0.0931889495735625,0.0
