,subsizes,<S>,<S^2>,<S>_typ
0,1,0.6615632381579822,0.0,0.0
1,2,1.2868579768895028,0.0012630250855469871,0.0
2,3,1.8670984900214713,0.006668876969047055,0.0
3,4,2.394469722959149,0.019165560514796454,0.0
4,5,2.865260662424368,0.04081880939263627,0.0
5,6,3.275777913152341,0.07158427471292761,0.0
6,7,3.6244857368695658,0.10987723654169557,0.0
7,8,3.9097583419283395,0.151902393884777,0.0
8,9,4.13119254869405,0.19305721864364855,0.0
9,10,4.288621355791239,0.22789476579674073,0.0
10,11,4.382689958174577,0.25162935506612527,0.0
11,12,4.413912847618128,0.26013611088992405,0.0
