,subsizes,<S>,<S^2>,<S>_typ
0,1,0.6896709283570267,0.0,0.0
1,2,1.3539781596107399,0.0009181929429846747,0.0
2,3,2.0016045800597584,0.004114667074513356,0.0
3,4,2.61144835394959,0.011135516948476365,0.0
4,5,3.189707288503206,0.024344245598902248,0.0
5,6,3.7160173583355944,0.04555291012873752,0.0
6,7,4.188040965256011,0.07699165390100049,0.0
7,8,4.58871132558814,0.11785071824824556,0.0
8,9,4.9133355501343186,0.16535859320367763,0.0
9,10,5.149790730976166,0.21116213511351134,0.0
10,11,5.295096972541523,0.24577552994415441,0.0
11,12,5.343223957891717,0.25858185037129644,0.0
