,subsizes,<S>,<S^2>,<S>_typ
0,1,0.6365141682948129,5.551115123125783e-17,0.0
1,2,1.2354208739555077,0.0013000094216228941,0.0
2,3,1.78758180604898,0.006863269875787115,0.0
3,4,2.285242120851488,0.019522192835034424,0.0
4,5,2.7250743197033866,0.04084828596565693,0.0
5,6,3.1044935860013805,0.07017106634218528,0.0
6,7,3.4231024214669996,0.10530975217679917,0.0
7,8,3.680851311657396,0.14243713580584405,0.0
8,9,3.8789462028000243,0.17756481574487992,0.0
9,10,4.018762285308766,0.20658095947430866,0.0
10,11,4.101887310578355,0.22603091164004496,0.0
11,12,4.1294203051682485,0.23294097096079724,0.0
