,subsizes,<S>,<S^2>,<S>_typ
0,1,0.28683598305616076,-1.3877787807814457e-17,0.0
1,2,0.5216224939193125,0.0014976637921005342,0.0
2,3,0.700708001092264,0.003301464314850011,0.0
3,4,0.8470860720454628,0.005323733732644165,0.0
4,5,0.9683241040253022,0.007434361818996371,0.0
5,6,1.0685889123213699,0.009527820856346292,0.0
6,7,1.1504825506953817,0.011524718936613443,0.0
7,8,1.215730886714372,0.013370516698861579,0.0
8,9,1.265509736228704,0.015002344272038393,0.0
9,10,1.300622399183549,0.016339439555038915,0.0
10,11,1.3215969804724947,0.017275772627121544,0.0
11,12,1.3285960704333113,0.017640218354003645,0.0
