,subsizes,<S>,<S^2>,<S>_typ,<S>_deg,<S>_all
0,1,0.3046360973492381,6.938893903907228e-17,0.0,0.013479473334037087,0.3113758340162567
1,2,0.5820548309567478,0.0006995641035124622,0.0,0.026556020936267508,0.5962540483756391
2,3,0.7780152489974381,0.0005652046464521554,0.0,0.03814827443533202,0.801231263360875
3,4,0.9349691921633151,0.000811277468329763,0.0,0.047128733197945076,0.9667924247402147
4,5,1.0596772835762767,0.001294897096143055,0.0,0.052664809662484935,1.0990671949631685
5,6,1.1583019621280684,0.0017974928043134053,0.0,0.05719399575187893,1.2044959883381137
6,7,1.2365190691971515,0.0022635322043758066,0.0,0.05958394961450105,1.2882985469768855
7,8,1.2959499847651885,0.0026647645826065602,0.0,0.06135598730087388,1.3524439986799335
8,9,1.3385828381599838,0.002958048125142332,0.0,0.06258169867084457,1.3982354015622622
9,10,1.3642576186927422,0.003125597990445872,0.0,0.06330258693179161,1.4260690776329912
10,11,1.372281329838787,0.003202572751811905,0.0,0.06354058818265947,1.4346660310127863
