,subsizes,<S>,<S^2>,<S>_typ,<S>_deg,<S>_all,<S^2>_deg,<S^2>_all
0,1,0.6698669793961836,2.2739367138621068e-31,0.0,1.4526188021236343e-06,0.6698677057055848,,2.2739728019561645e-31
1,2,1.3238100255110195,0.00030779029859685715,0.0,2.8618162123740525e-06,1.3238133762276716,,0.00030775508587732516
2,3,1.9306764974672341,0.00299123351379302,0.0,4.189069461643738e-06,1.9306833798049448,,0.0029910888344523824
3,4,2.4806788192436544,0.011570043001077472,0.0,5.4116839920380646e-06,2.4806899262086923,,0.011569901771627296
4,5,2.968072110733971,0.028188193409613697,0.0,6.472232994176168e-06,2.9680867558058615,,0.028188227025349413
5,6,3.3864485765440797,0.052570498013357406,0.0,7.4114751233538385e-06,3.386465797170314,,0.05257060423521701
6,7,3.732956039213871,0.0826033166470521,0.0,8.174006972658138e-06,3.732975036558586,,0.08260321027317659
7,8,4.004383140388922,0.11443777144271072,0.0,8.810761162791329e-06,4.004403144390444,,0.11443728403570111
8,9,4.199405072942224,0.14332422390708016,0.0,9.236893178233307e-06,4.199425489295028,,0.14332344615455067
9,10,4.31662853807073,0.16396228563802873,0.0,9.525597511051068e-06,4.3166491692709625,,0.16396132574945507
10,11,4.35580377537494,0.17161426258428833,0.0,9.601848215231488e-06,4.355824432422186,,0.17161322485073696
