,subsizes,<S>,<S^2>,<S>_typ,<S>_deg,<S>_all
0,1,0.47413931305783763,-1.3877787807814457e-16,0.0,,0.47413931305783763
1,2,0.9267187571617347,0.000553712767388026,0.0,,0.9270442301294143
2,3,1.3180804194016298,0.004739648368405902,0.0,,1.3186084237239817
3,4,1.6429604643765834,0.014173733082970763,0.0,,1.643633800476634
4,5,1.9002959413893104,0.02465584660308151,0.0,,1.9010963642020113
5,6,2.1081744590070417,0.03654951499817649,0.0,,2.1091344575867796
6,7,2.2718731792016826,0.04827615721480161,0.0,,2.2730513886495456
7,8,2.3956822358538843,0.0588998795732687,0.0,,2.3971808754827415
8,9,2.482254617522565,0.0673460662219938,0.0,,2.4840182807355675
9,10,2.5334635545373234,0.07298819061183703,0.0,,2.5354376851353524
10,11,2.550366054472788,0.07501189614051551,0.0,,2.552398257414746
