,subsizes,<S>,<S^2>,<S>_typ,<S>_deg,<S>_all
0,1,0.5859526183035509,5.551115123125783e-17,0.0,0.5859526183035509,0.5859526183035509
1,2,1.153525284136248,0.00048737722073677325,0.0,1.1603597498127451,1.1540892909624674
2,3,1.6659402502897551,0.004241853632060533,0.0,1.6796005938505103,1.667181819728583
3,4,2.1154434423924378,0.015028250426680323,0.0,2.142119976705361,2.118403155115617
4,5,2.49729871258898,0.03382296355952885,0.0,2.5453751255342825,2.5024921575428403
5,6,2.809153099122059,0.05713953338914113,0.0,2.884218720363332,2.8169523863086465
6,7,3.054883262487436,0.08186184834606536,0.0,3.159157816009452,3.0653776619584154
7,8,3.2409994281640593,0.10548502846379648,0.0,3.36919359686411,3.2537082685777303
8,9,3.370730212981138,0.12488912874175107,0.0,3.516398056476167,3.3849931200442778
9,10,3.447629382021975,0.1382299210646707,0.0,3.603007310480986,3.462748254187325
10,11,3.473227902759531,0.14309646173494173,0.0,3.631777066367516,3.488628074997742
