,subsizes,<S>,<S^2>,<S>_typ,<S>_deg,<S>_all
0,1,0.6254913597255729,5.551115123125783e-17,0.0,0.0,0.6254913597255729
1,2,1.2335289731986314,0.0004638476313494344,0.0,0.0,1.2335074897631326
2,3,1.7902792654831843,0.0038687979736091727,0.0,0.0,1.7902736536000943
3,4,2.2824682005833266,0.014308053542738897,0.0,0.0,2.282672828486553
4,5,2.708709706496076,0.03440798013327484,0.0,0.0,2.7091392248635366
5,6,3.0624823915719737,0.06119926707846979,0.0,0.0,3.06306159296648
6,7,3.3452163756134836,0.09070558962707054,0.0,0.0,3.345891276831988
7,8,3.5606287420343126,0.11928705394263517,0.0,0.0,3.561437760935036
8,9,3.711830169418769,0.1434197879645449,0.0,0.0,3.712759119131638
9,10,3.8009470685364093,0.15963645061333942,0.0,0.0,3.8019637425824597
10,11,3.8304039381444146,0.1656416561232188,0.0,0.0,3.8314550601034725
