,subsizes,<S>,<S^2>,<S>_typ,<S>_deg,<S>_all
0,1,0.6554817739013928,5.551115123125783e-17,0.0,0.655481773901393,0.6554817739013928
1,2,1.2975708835623136,0.0002155104584020684,0.0,1.2981538281525271,1.297642225023704
2,3,1.890909476373316,0.0028807782901831835,0.0,1.8888525747609424,1.890482059022987
3,4,2.4250525226292043,0.011921764433059145,0.0,2.4253437299213862,2.4257662791983456
4,5,2.896098434446141,0.030403675824754117,0.0,2.903369831762979,2.8989489412617426
5,6,3.298381166021875,0.05659048308808501,0.0,3.3209622484951424,3.3067732314753084
6,7,3.6282758017253043,0.08766514985101104,0.0,3.67082758634739,3.643814694338845
7,8,3.8844539225279204,0.12045371476691713,0.0,3.9495346142518337,3.9079905519989704
8,9,4.066495352865551,0.14928377256601522,0.0,4.152647196116509,4.097432938409529
9,10,4.175627884675648,0.1692239923649126,0.0,4.275156550307007,4.211269820191444
10,11,4.212045807471516,0.176428148294125,0.0,4.315889531409331,4.249236741710078
