,subsizes,<S>,<S^2>,<S>_typ,<S>_deg,<S>_all,<S^2>_deg,<S^2>_all
0,1,0.6615632381579821,3.434188949953899e-30,0.0,0.0,0.6615632381579821,0.0,3.434206945423393e-30
1,2,1.3057335938646182,0.0003151523756031179,0.0,0.0,1.305733602913048,0.0,0.0003151603136573896
2,3,1.9047081613147376,0.0028070477775933816,0.0,0.0,1.9047078457956206,0.0,0.0028070758247873075
3,4,2.450369319382453,0.010601525175797356,0.0,0.0,2.4503683307249395,0.0,0.010601590241659905
4,5,2.9379440498100915,0.025805960974906266,0.0,0.0,2.937942170243564,0.0,0.025806052955703127
5,6,3.362475218512123,0.04842579833020194,0.0,0.0,3.3624727036963593,0.0,0.048426098694788526
6,7,3.7220325813079618,0.0767954447562942,0.0,0.0,3.722029658985563,0.0,0.076796092401719
7,8,4.015024543126378,0.10791962433370877,0.0,0.0,4.015021292161348,0.0,0.10792062703757661
8,9,4.24147970653984,0.13822508455287968,0.0,0.0,4.241476288521994,0.0,0.13822647272700442
9,10,4.401954023941757,0.16401192398458225,0.0,0.0,4.401950700652388,0.0,0.1640136917925624
10,11,4.497607242049516,0.18167683548129734,0.0,0.0,4.497604023542994,0.0,0.18167886306711203
11,12,4.529327034741272,0.18808198437853604,0.0,0.0,4.529323870430056,0.0,0.18808410366896264
