,subsizes,<S>,<S^2>,<S>_typ,<S>_deg,<S>_all,<S^2>_deg,<S^2>_all
0,1,0.4505612088663048,8.89005227031018e-32,0.0,0.0,0.4505612088663048,0.0,8.901986106781458e-32
1,2,0.876933868318501,0.00047461810913746025,0.0,0.0,0.8770535897745982,0.0,0.000470249785324382
2,3,1.2482349918197166,0.003732392226373168,0.0,0.0,1.2484844877808683,0.0,0.003719645286254421
3,4,1.5591139899107762,0.010395777008298045,0.0,0.0,1.5594516931210813,0.0,0.010381669332277008
4,5,1.8127000505729884,0.017624890653937693,0.0,0.0,1.8130526392658255,0.0,0.017607534066327576
5,6,2.0213864759964344,0.025068123694823943,0.0,0.0,2.021717811735916,0.0,0.025047007010624706
6,7,2.1912039756554598,0.03241581333469629,0.0,0.0,2.1914901827098383,0.0,0.0323986699201608
7,8,2.326107955308848,0.039283151149755585,0.0,0.0,2.3263448949029675,0.0,0.039273082822908575
8,9,2.4285964237324498,0.04527608515329914,0.0,0.0,2.4287824446095447,0.0,0.04527228384897676
9,10,2.5006178121759923,0.05014525566548037,0.0,0.0,2.5007622721035094,0.0,0.0501430131929144
10,11,2.5433499704959126,0.05341663341792768,0.0,0.0,2.5434659180111865,0.0,0.053414938981380326
11,12,2.5575118990710144,0.05463224294283631,0.0,0.0,2.5576178006898047,0.0,0.05463147684172543
