,subsizes,<S>,<S^2>,<S>_typ,<S>_deg,<S>_all
0,1,0.5623351446188084,-5.551115123125783e-17,0.0,0.0,0.5623351446188084
1,2,1.1034113038575777,0.0004628513726891992,0.0,0.0,1.103409292934566
2,3,1.5941570741167965,0.0037458706375645967,0.0,0.0,1.5941574235123905
3,4,2.0271800199139305,0.012846293251588925,0.0,0.0,2.027178704917004
4,5,2.399234603386878,0.028306071886537332,0.0,0.0,2.3992321866345794
5,6,2.7106431397816815,0.04789111522845779,0.0,0.0,2.7106388561158306
6,7,2.9650355228847545,0.068910111111121,0.0,0.0,2.9650280450281388
7,8,3.167537571742429,0.08948722879875604,0.0,0.0,3.1675274400579467
8,9,3.321759827799848,0.10801579799696981,0.0,0.0,3.321747347636875
9,10,3.4301697193083145,0.12297313352176431,0.0,0.0,3.430155039216632
10,11,3.4945113434741772,0.132940047858213,0.0,0.0,3.494495798763991
11,12,3.515826413294441,0.1365140806615308,0.0,0.0,3.5158101756524496
